Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
168,168,0,1,1190,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
169,169,0,1,1191,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
170,170,0,1,1192,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
171,171,0,1,1193,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
172,172,0,1,1194,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
173,173,0,1,1195,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
174,174,0,1,1196,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
175,175,0,1,1197,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
176,176,0,1,1198,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
177,177,0,1,1199,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
178,178,0,1,119a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
179,179,0,1,119b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
180,180,0,1,119c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
181,181,0,1,119d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
182,182,0,1,119e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
183,183,0,1,119f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
184,184,0,1,11a0,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
185,185,0,1,11a1,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
186,186,0,1,11a2,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
187,187,0,1,11a3,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
188,188,0,1,11a4,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
189,189,0,1,11a5,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
