Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_probe[195:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
221,221,0,1000000000000000000000000000045002809140000000000
222,222,0,1000000000000000000000000000045002809140000000000
223,223,0,1000000000000000000000000000045002809140000000000
224,224,0,1000000000000000000000000000045002809140000000000
225,225,0,1000000000000000000000000000045002809140000000000
226,226,0,1000000000000000000000000000045002809140000000000
227,227,0,1000000000000000000000000000045002809140000000000
228,228,0,1000000000000000000000000000045002809140000000000
229,229,0,1000000000000000000000000000045002809140000000000
230,230,0,1000000000000000000000000000045002809140000000000
231,231,0,1000000000000000000000000000045002809140000000000
232,232,0,1000000000000000000000000000045002809140000000000
233,233,0,1000000000000000000000000000045002809140000000000
234,234,0,1000000000000000000000000000045002809140000000000
235,235,0,1000000000000000000000000000045002809140000000000
236,236,0,1000000000000000000000000000045002809140000000000
237,237,0,1000000000000000000000000000045002809140000000000
238,238,0,1000000000000000000000000000045002809140000000000
239,239,0,1000000000000000000000000000045002809140000000000
240,240,0,1000000000000000000000000000045002809140000000000
241,241,0,1000000000000000000000000000045002809140000000000
242,242,0,1000000000000000000000000000045002809140000000000
243,243,0,1000000000000000000000000000045002809140000000000
244,244,0,1000000000000000000000000000045002809140000000000
245,245,0,1000000000000000000000000000045002809140000000000
246,246,0,1000000000000000000000000000045002809140000000000
247,247,0,1000000000000000000000000000045002809140000000000
248,248,0,1000000000000000000000000000045002809140000000000
249,249,0,1000000000000000000000000000045002809140000000000
250,250,0,1000000000000000000000000000045002809140000000000
251,251,0,1000000000000000000000000000045002809140000000000
252,252,0,1000000000000000000000000000045002809140000000000
253,253,0,1000000000000000000000000000045002809140000000000
254,254,0,1000000000000000000000000000045002809140000000000
255,255,0,1000000000000000000000000000045002809140000000000
256,256,0,1000000000000000000000000000045002809140000000000
257,257,0,1000000000000000000000000000045002809140000000000
258,258,0,1000000000000000000000000000045002809140000000000
259,259,0,1000000000000000000000000000045002809140000000000
260,260,0,1000000000000000000000000000045002809140000000000
261,261,0,1000000000000000000000000000045002809140000000000
262,262,0,1000000000000000000000000000045002809140000000000
263,263,0,1000000000000000000000000000045002809140000000000
264,264,0,1000000000000000000000000000045002809140000000000
265,265,0,1000000000000000000000000000045002809140000000000
266,266,0,1000000000000000000000000000045002809140000000000
267,267,0,1000000000000000000000000000045002809140000000000
268,268,0,1000000000000000000000000000045002809140000000000
269,269,0,1000000000000000000000000000045002809140000000000
270,270,0,1000000000000000000000000000045002809140000000000
271,271,0,1000000000000000000000000000045002809140000000000
272,272,0,1000000000000000000000000000045002809140000000000
273,273,0,1000000000000000000000000000045002809140000000000
274,274,0,1000000000000000000000000000045002809140000000000
275,275,0,1000000000000000000000000000045002809140000000000
276,276,0,1000000000000000000000000000045002809140000000000
277,277,0,1000000000000000000000000000045002809140000000000
278,278,0,1000000000000000000000000000045002809140000000000
279,279,0,1000000000000000000000000000045002809140000000000
280,280,0,1000000000000000000000000000045002809140000000000
281,281,0,1000000000000000000000000000045002809140000000000
282,282,0,1000000000000000000000000000045002809140000000000
283,283,0,1000000000000000000000000000045002809140000000000
284,284,0,1000000000000000000000000000045002809140000000000
285,285,0,1000000000000000000000000000045002809140000000000
286,286,0,1000000000000000000000000000045002809140000000000
287,287,0,1000000000000000000000000000045002809140000000000
288,288,0,1000000000000000000000000000045002809140000000000
289,289,0,1000000000000000000000000000045002809140000000000
290,290,0,1000000000000000000000000000045002809140000000000
291,291,0,1000000000000000000000000000045002809140000000000
292,292,0,1000000000000000000000000000045002809140000000000
293,293,0,1000000000000000000000000000045002809140000000000
