Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_probe[195:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
364,364,0,1000000000000000000000000000001002809140000010000
365,365,0,1000000000000000000000000000001002809140000010000
366,366,0,1000000000000000000000000000001002809140000010000
367,367,0,1000000000000000000000000000001002809140000010000
368,368,0,1000000000000000000000000000001002809140000010000
369,369,0,1000000000000000000000000000001002809140000010000
370,370,0,1000000000000000000000000000001002809140000010000
371,371,0,1000000000000000000000000000001002809140000010000
372,372,0,1000000000000000000000000000001002809140000010000
373,373,0,1000000000000000000000000000001002809140000010000
374,374,0,1000000000000000000000000000001002809140000010000
375,375,0,1000000000000000000000000000001002809140000010000
376,376,0,1000000000000000000000000000001002809140000010000
377,377,0,1000000000000000000000000000001002809140000010000
378,378,0,1000000000000000000000000000001002809140000010000
379,379,0,1000000000000000000000000000001002809140000010000
380,380,0,1000000000000000000000000000001002809140000010000
381,381,0,1000000000000000000000000000001002809140000010000
382,382,0,1000000000000000000000000000001002809140000010000
383,383,0,1000000000000000000000000000001002809140000010000
384,384,0,1000000000000000000000000000001002809140000010000
385,385,0,1000000000000000000000000000001002809140000010000
386,386,0,1000000000000000000000000000001002809140000010000
387,387,0,1000000000000000000000000000001002809140000010000
388,388,0,1000000000000000000000000000001002809140000010000
389,389,0,1000000000000000000000000000001002809140000010000
390,390,0,1000000000000000000000000000001002809140000010000
391,391,0,1000000000000000000000000000001002809140000010000
392,392,0,1000000000000000000000000000001002809140000010000
393,393,0,1000000000000000000000000000001002809140000010000
394,394,0,1000000000000000000000000000001002809140000010000
395,395,0,1000000000000000000000000000001002809140000010000
396,396,0,1000000000000000000000000000001002809140000010000
397,397,0,1000000000000000000000000000001002809140000010000
398,398,0,1000000000000000000000000000001002809140000010000
399,399,0,1000000000000000000000000000001002809140000010000
400,400,0,1000000000000000000000000000001002809140000010000
401,401,0,1000000000000000000000000000001002809140000010000
402,402,0,1000000000000000000000000000001002809140000010000
